car_name,driven_km,fuel_type,transmission,ownership,manufacture,engine_cc,seats,km_per_cc,cc_per_seat,price_dollar
0,Hyundai Verna 1.4 VTVT,90228.0,Petrol,Manual,1st Owner,2014,2982.0,5,30.332250338129036,596.0,5670.0
1,Hyundai Verna CRDi,100004.0,Diesel,Manual,2nd Owner,2009,1248.0,5,80.10266142839653,249.0,3250.0
2,Honda City VX CVT,6144.0,Petrol,Automatic,1st Owner,2021,1497.0,5,3.867902841124807,299.0,25960.0
3,Maruti Ciaz 1.4 Alpha,43016.0,Petrol,Manual,1st Owner,2017,1197.0,5,36.374141164249195,239.0,10400.0
4,Mahindra TUV 300 T8 AMT,42032.0,Diesel,Automatic,2nd Owner,2016,2143.0,5,19.25291839934643,428.0,7920.0
5,Maruti Swift VXI 2018,56681.0,Petrol,Manual,1st Owner,2018,1197.0,5,46.99501319808293,239.0,7410.0
6,Maruti Alto K10 VXI,35000.0,Petrol,Manual,1st Owner,2016,998.0,5,35.080902811077,199.0,5270.0
7,Hyundai Verna 1.4 VTVT,60000.0,Petrol,Manual,3rd Owner,2012,1199.0,5,49.58079123499735,239.0,5240.0
8,Hyundai Verna 1.6 SX VTVT AT,44000.0,Petrol,Automatic,2nd Owner,2014,796.0,5,55.67587207942885,159.0,8700.0
9,Maruti Alto 800 CNG LXI,50000.0,Cng,Manual,5th Owner,2014,1199.0,5,41.90989825197442,239.0,3970.0
10,BMW 3 Series 320d,54206.0,Diesel,Automatic,1st Owner,2011,1248.0,5,43.25994930604773,249.0,9310.0
11,Renault Triber RXE,47993.0,Petrol,Manual,1st Owner,2021,998.0,7,48.48505267497617,142.0,7190.0
12,Mercedes-Benz C-Class C 220 CDI Avantgarde,23000.0,Diesel,Automatic,1st Owner,2013,2993.0,5,7.718728853296699,598.0,23900.0
13,BMW X7 xDrive 40i,39000.0,Petrol,Automatic,1st Owner,2019,1396.0,5,28.38486606100253,279.0,57490.0
14,Hyundai i20 Magna 1.2,81000.0,Petrol,Manual,1st Owner,2017,1798.0,5,44.634311647598246,359.0,7110.0
15,Land Rover Range Rover Velar R-Dynamic S Petrol MY21,38000.0,Petrol,Automatic,1st Owner,2020,1969.0,5,19.095797012944224,393.0,54410.0
16,Maruti Ertiga SHVS ZDI Plus,68143.0,Diesel,Manual,1st Owner,2017,1493.0,5,45.84934784043483,298.0,9740.0
17,Hyundai Santro Sportz,12471.0,Petrol,Manual,1st Owner,2021,1799.0,5,7.248310611409139,359.0,6800.0
18,Volkswagen Vento 1.5 TDI Highline,100000.0,Diesel,Manual,2nd Owner,2014,1497.0,5,66.87303404809059,299.0,5360.0
19,Hyundai i20 Magna 1.2,46329.0,Petrol,Manual,1st Owner,2015,1197.0,5,38.21928680609222,239.0,5990.0
20,MG Hector Hybrid Sharp MT,31437.0,Petrol,Manual,2nd Owner,2021,999.0,7,31.598376043065898,142.0,32580.0
21,Ford Ecosport 1.5 Diesel Titanium,68414.0,Diesel,Manual,1st Owner,2018,1598.0,5,42.68539002869719,319.0,11750.0
22,Mahindra XUV500 W8 2WD,68000.0,Diesel,Manual,1st Owner,2012,2179.0,7,31.46020172969446,311.0,8640.0
23,Tata Altroz XM plus,7027.0,Petrol,Manual,1st Owner,2021,1462.0,5,5.118055924387014,292.0,8980.0
24,Mahindra Thar AX Opt 4-Str Convert Top Diesel,28000.0,Diesel,Manual,1st Owner,2020,1364.0,4,20.591912085226777,341.0,29200.0
25,Toyota Innova Crysta 2.7 ZX AT,49000.0,Petrol,Automatic,2nd Owner,2017,2143.0,5,22.512403104958583,428.0,33410.0
26,Toyota Innova Crysta 2.4 G MT BSIV,126401.0,Diesel,Manual,2nd Owner,2017,998.0,5,126.4588710417547,199.0,13410.0
27,Honda Civic 1.8 V AT,90000.0,Petrol,Automatic,1st Owner,2008,2143.0,5,41.77792149298549,428.0,3940.0
28,Honda City 1.5 S MT,67713.0,Petrol,Manual,1st Owner,2011,1197.0,5,56.49056537828151,239.0,4850.0
29,Toyota Fortuner 2.8 4WD AT BSIV,79000.0,Diesel,Automatic,1st Owner,2017,998.0,5,79.11334944605103,199.0,37020.0
30,Maruti Swift Dzire 1.2 Vxi BSIV,213709.0,Petrol,Manual,1st Owner,2011,936.0,5,228.78578792298987,187.0,4280.0
31,Maruti Ciaz Alpha AT,3925.0,Petrol,Automatic,1st Owner,2022,1197.0,5,3.3019520505445965,239.0,23840.0
32,Maruti Swift Dzire VDI,81759.0,Diesel,Manual,1st Owner,2015,796.0,5,102.92111256024373,159.0,6370.0
33,Hyundai i20 1.2 Sportz,34453.0,Petrol,Manual,1st Owner,2010,1197.0,5,29.108686117413,239.0,4360.0
34,Maruti Swift VXI,110000.0,Petrol,Manual,4th Owner,2011,1197.0,5,91.40597638287453,239.0,4020.0
35,Hyundai i10 Era,54858.0,Petrol,Manual,2nd Owner,2012,1462.0,5,37.63657336727821,292.0,3990.0
36,Mercedes-Benz C-Class C 220 CDI Elegance AT,98000.0,Diesel,Automatic,2nd Owner,2010,1198.0,5,81.80960968395956,239.0,8240.0
37,Mahindra XUV500 W8 FWD,74000.0,Diesel,Manual,1st Owner,2012,1061.0,5,69.39628060339784,212.0,8890.0
38,BMW X1 sDrive20i xLine,10000.0,Petrol,Automatic,1st Owner,2021,2987.0,5,3.237170911551217,597.0,41980.0
39,Maruti Swift VDI,96906.0,Diesel,Manual,3rd Owner,2012,2755.0,5,35.25519896144073,551.0,4500.0
40,Honda Amaze SX i-VTEC,35128.0,Petrol,Manual,1st Owner,2015,1248.0,7,28.472441492474672,178.0,5490.0
41,Maruti Swift Dzire VDI,58889.0,Diesel,Manual,1st Owner,2014,1086.0,5,54.457352691839056,217.0,3980.0
42,Mahindra Bolero Pik Up Extra Long CBC 1.7T,300000.0,Diesel,Manual,1st Owner,2019,1197.0,5,250.77947210110182,239.0,9310.0
43,Audi A6 35 TFSI Matrix,61500.0,Petrol,Automatic,1st Owner,2017,2967.0,5,21.085210980348425,593.0,38360.0
44,Audi A6 35 TFSI Matrix,30000.0,Petrol,Automatic,1st Owner,2018,1950.0,5,15.310083302367753,390.0,40750.0
45,Toyota Camry 2.5 Hybrid,47000.0,Petrol,Automatic,1st Owner,2017,1498.0,5,31.726268449426215,299.0,35920.0
46,Mercedes-Benz GLE 250d,98000.0,Diesel,Automatic,1st Owner,2016,2993.0,5,32.94308614878734,598.0,40800.0
47,Maruti Ciaz VDi Plus SHVS,70076.0,Diesel,Manual,3rd Owner,2016,995.0,5,70.13453898413582,199.0,6860.0
48,Chevrolet Spark 1.0 LT,63342.0,Petrol,Manual,1st Owner,2009,1197.0,5,52.78908740739886,239.0,2790.0
49,Skoda Rapid 1.5 TDI Ambition BSIV,111000.0,Diesel,Manual,1st Owner,2020,1298.0,5,85.45223449764671,259.0,16860.0
50,Hyundai EON 1.0 Era Plus,48421.0,Petrol,Manual,1st Owner,2013,1582.0,5,30.454156902882772,316.0,4140.0
51,Hyundai i20 Sportz 1.2,38463.0,Petrol,Manual,2nd Owner,2017,2994.0,5,12.44701142413611,598.0,6860.0
52,Renault Triber RXZ EASY-R AMT,27174.0,Petrol,Automatic,1st Owner,2021,2755.0,5,9.370687073750052,551.0,11230.0
53,Maruti Swift Dzire LDI,91065.0,Diesel,Manual,2nd Owner,2015,1248.0,7,72.91098941425979,178.0,5160.0
54,BMW X1 sDrive 20d xLine,65000.0,Diesel,Automatic,1st Owner,2019,1248.0,5,51.820073399927296,249.0,39160.0
55,Nissan Magnite XL,5973.0,Petrol,Manual,1st Owner,2021,1199.0,5,4.601164257782924,239.0,7030.0
